joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5587205290794373,0.0,0.0,0.0,0.20322285592556,0.0,0.0,0.0,0.24523517489433289,0.0,-0.13874290883541107,0.0,0.011294026859104633,0.0,-0.04858149588108063,0.0,0.09340766817331314,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5818771123886108,0.0,0.0,0.0,0.18954512476921082,0.0,0.0,0.0,0.21240895986557007,0.0,-0.12546473741531372,0.0,0.011193537153303623,0.0,-0.040615011006593704,0.0,0.08084431290626526,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5930265784263611,0.0,0.0,0.0,0.16945984959602356,0.0,0.0,0.0,0.17396916449069977,0.0,-0.10584912449121475,0.0,0.011064328253269196,0.0,-0.02954454906284809,0.0,0.06653662770986557,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5930339694023132,0.0,0.0,0.0,0.14643332362174988,0.0,0.0,0.0,0.1354060024023056,0.0,-0.08195993304252625,0.0,0.010883787646889687,0.0,-0.016470815986394882,0.0,0.05241696164011955,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5852349996566772,0.0,0.0,0.0,0.12452623248100281,0.0,0.0,0.0,0.1019703820347786,0.0,-0.05510440096259117,0.0,0.010571041144430637,0.0,-0.0019557876512408257,0.0,0.040239136666059494,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5739912986755371,0.0,0.0,0.0,0.1072470098733902,0.0,0.0,0.0,0.07770076394081116,0.0,-0.02677399292588234,0.0,0.010119791142642498,0.0,0.013357242569327354,0.0,0.0313422717154026,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5633001327514648,0.0,0.0,0.0,0.0969872996211052,0.0,0.0,0.0,0.06498197466135025,0.0,0.0009060825686901808,0.0,0.009614688344299793,0.0,0.02840997278690338,0.0,0.026536056771874428,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5555393695831299,0.0,0.0,0.0,0.09474886208772659,0.0,0.0,0.0,0.06428030133247375,0.0,0.025285134091973305,0.0,0.00920465961098671,0.0,0.04175961762666702,0.0,0.026002459228038788,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5513689517974854,0.0,0.0,0.0,0.10030572861433029,0.0,0.0,0.0,0.07435225695371628,0.0,0.043768301606178284,0.0,0.009038248099386692,0.0,0.05194783955812454,0.0,0.029336940497159958,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5500272512435913,0.0,0.0,0.0,0.11243516206741333,0.0,0.0,0.0,0.09270767867565155,0.0,0.05450793728232384,0.0,0.009204825386404991,0.0,0.057934340089559555,0.0,0.035691842436790466,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.550056517124176,0.0,0.0,0.0,0.12925207614898682,0.0,0.0,0.0,0.11629363149404526,0.0,0.05710793286561966,0.0,0.009709207341074944,0.0,0.05950630083680153,0.0,0.04401183873414993,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.550137460231781,0.0,0.0,0.0,0.1485593169927597,0.0,0.0,0.0,0.14214013516902924,0.0,0.05296453833580017,0.0,0.010471353307366371,0.0,0.057440876960754395,0.0,0.0532449409365654,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5495503544807434,0.0,0.0,0.0,0.16799324750900269,0.0,0.0,0.0,0.16746991872787476,0.0,0.04482559859752655,0.0,0.011354826390743256,0.0,0.05322753265500069,0.0,0.062382590025663376,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5479133725166321,0.0,0.0,0.0,0.18531914055347443,0.0,0.0,0.0,0.18988698720932007,0.0,0.03570251166820526,0.0,0.012207061983644962,0.0,0.04847051575779915,0.0,0.0705351009964943,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5449770092964172,0.0,0.0,0.0,0.198693186044693,0.0,0.0,0.0,0.20740906894207,0.0,0.027622738853096962,0.0,0.012910556048154831,0.0,0.0442383848130703,0.0,0.07696942239999771,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5408890843391418,0.0,0.0,0.0,0.20689967274665833,0.0,0.0,0.0,0.2187058925628662,0.0,0.02196955680847168,0.0,0.013379089534282684,0.0,0.041257504373788834,0.0,0.08118274062871933,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5359704494476318,0.0,0.0,0.0,0.20944523811340332,0.0,0.0,0.0,0.22314076125621796,0.0,0.019354509189724922,0.0,0.013576342724263668,0.0,0.03984943404793739,0.0,0.08292793482542038,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.530745267868042,0.0,0.0,0.0,0.2066149264574051,0.0,0.0,0.0,0.22086426615715027,0.0,0.019750256091356277,0.0,0.013513181358575821,0.0,0.040004026144742966,0.0,0.08224471658468246,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5261059999465942,0.0,0.0,0.0,0.19938036799430847,0.0,0.0,0.0,0.21275824308395386,0.0,0.022942638024687767,0.0,0.013224286027252674,0.0,0.041622310876846313,0.0,0.07942183315753937,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5231398344039917,0.0,0.0,0.0,0.18914367258548737,0.0,0.0,0.0,0.20024840533733368,0.0,0.028646083548665047,0.0,0.012753473594784737,0.0,0.04457421600818634,0.0,0.07493364810943604,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5229177474975586,0.0,0.0,0.0,0.17727795243263245,0.0,0.0,0.0,0.18481656908988953,0.0,0.03661755099892616,0.0,0.012140770442783833,0.0,0.04875120520591736,0.0,0.06927648186683655,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5263022184371948,0.0,0.0,0.0,0.16522075235843658,0.0,0.0,0.0,0.16816796362400055,0.0,0.04651621729135513,0.0,0.011433924548327923,0.0,0.053987614810466766,0.0,0.06304065883159637,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5336761474609375,0.0,0.0,0.0,0.15425965189933777,0.0,0.0,0.0,0.15205654501914978,0.0,0.05754617601633072,0.0,0.010695377364754677,0.0,0.059858933091163635,0.0,0.056870151311159134,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5447903871536255,0.0,0.0,0.0,0.14536996185779572,0.0,0.0,0.0,0.13801050186157227,0.0,0.06857767701148987,0.0,0.009996308945119381,0.0,0.06574644148349762,0.0,0.051360223442316055,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5587996244430542,0.0,0.0,0.0,0.13917896151542664,0.0,0.0,0.0,0.12714844942092896,0.0,0.07838332653045654,0.0,0.009407361969351768,0.0,0.07097508013248444,0.0,0.04697507247328758,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5743318796157837,0.0,0.0,0.0,0.13595077395439148,0.0,0.0,0.0,0.12008017301559448,0.0,0.08584300428628922,0.0,0.008986489847302437,0.0,0.07493536919355392,0.0,0.043996330350637436,0.0
