joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20,joint_vel_21,joint_vel_22,joint_vel_23,joint_vel_24,joint_vel_25,joint_vel_26,joint_vel_27,joint_vel_28
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03668069839477539,0.0,0.0,0.0,-0.1357685774564743,0.0,0.0,0.0,-0.17889998853206635,0.0,0.21179085597395897,0.0,-0.009442120790481567,0.0,0.11273408308625221,0.0,-0.0689096748828888,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13879388570785522,0.0,0.0,0.0,-0.0581253319978714,0.0,0.0,0.0,-0.04292987287044525,0.0,0.14199251309037209,0.0,-0.004000449553132057,0.0,0.07506180554628372,0.0,-0.016285665333271027,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28679966926574707,0.0,0.0,0.0,0.02759210765361786,0.0,0.0,0.0,0.09377188980579376,0.0,0.05904613062739372,0.0,0.001839292235672474,0.0,0.030825939029455185,0.0,0.03620125353336334,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39830952882766724,0.0,0.0,0.0,0.11129938066005707,0.0,0.0,0.0,0.21856315433979034,0.0,-0.03161821514368057,0.0,0.007546227425336838,0.0,-0.017237383872270584,0.0,0.08399635553359985,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4725739359855652,0.0,0.0,0.0,0.18467605113983154,0.0,0.0,0.0,0.3227241337299347,0.0,-0.12127580121159554,0.0,0.012622284702956676,0.0,-0.06466936320066452,0.0,0.12392774224281311,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5086183547973633,0.0,0.0,0.0,0.24407580494880676,0.0,0.0,0.0,0.40284767746925354,0.0,-0.20116055384278297,0.0,0.016744551248848438,0.0,-0.10691098868846893,0.0,0.15464024618268013,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5018308758735657,0.0,0.0,0.0,0.2844545990228653,0.0,0.0,0.0,0.4523325711488724,0.0,-0.2659391611814499,0.0,0.019622384570538998,0.0,-0.141178909689188,0.0,0.17371028661727905,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4509374499320984,0.0,0.0,0.0,0.30003413558006287,0.0,0.0,0.0,0.4638995975255966,0.0,-0.30708080157637596,0.0,0.020833546295762062,0.0,-0.16302168369293213,0.0,0.17835227772593498,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3614649176597595,0.0,0.0,0.0,0.28907395899295807,0.0,0.0,0.0,0.43568387627601624,0.0,-0.3158828243613243,0.0,0.02008853480219841,0.0,-0.16781194135546684,0.0,0.16761263832449913,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2448156476020813,0.0,0.0,0.0,0.25174878537654877,0.0,0.0,0.0,0.36821141839027405,0.0,-0.2907651010900736,0.0,0.017396057955920696,0.0,-0.15458222478628159,0.0,0.14159837737679482,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.115184485912323,0.0,0.0,0.0,0.19068866968154907,0.0,0.0,0.0,0.2655584365129471,0.0,-0.2364722080528736,0.0,0.013055512681603432,0.0,-0.12572119012475014,0.0,0.10194256901741028,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011551380157470703,0.0,0.0,0.0,0.11198818683624268,0.0,0.0,0.0,0.13736821711063385,0.0,-0.16362364403903484,0.0,0.007674680091440678,0.0,-0.0868314877152443,0.0,0.052554160356521606,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12227892875671387,0.0,0.0,0.0,0.024293363094329834,0.0,0.0,0.0,-0.002407655119895935,0.0,-0.08223019540309906,0.0,0.0019294675439596176,0.0,-0.04327632486820221,0.0,-0.0010795891284942627,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2099931240081787,0.0,0.0,0.0,-0.06314553320407867,0.0,0.0,0.0,-0.13875365257263184,0.0,0.002441694959998131,0.0,-0.0036637764424085617,0.0,0.00208364799618721,0.0,-0.0532710924744606,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27629584074020386,0.0,0.0,0.0,-0.140443816781044,0.0,0.0,0.0,-0.25724731385707855,0.0,0.0874705146998167,0.0,-0.008725258521735668,0.0,0.047696009278297424,0.0,-0.0987878069281578,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3249138593673706,0.0,0.0,0.0,-0.20236559212207794,0.0,0.0,0.0,-0.3507167100906372,0.0,0.1649248879402876,0.0,-0.012950855307281017,0.0,0.08927285671234131,0.0,-0.13490114361047745,0.0
